ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
FCE71921FBDA9302,electric_bike,2023-12-01 23:05:53.000000 UTC,2023-12-01 23:26:15.000000 UTC,,,,,41.99,-87.69,42.0,-87.66,casual
5A1E7A12BA8D6C33,electric_bike,2024-06-07 18:40:06.271000 UTC,2024-06-07 18:53:04.742000 UTC,,,,,41.97,-87.69,42.0,-87.7,casual
08C34D3F511F2339,electric_bike,2024-06-26 05:04:49.548000 UTC,2024-06-26 05:06:23.924000 UTC,,,,,42.0,-87.66,42.0,-87.66,member
06CFA5EF1096A4D0,electric_bike,2024-11-05 13:00:35.843000 UTC,2024-11-05 13:10:15.546000 UTC,,,,,42.0,-87.66,42.0,-87.66,casual
5B13D3D2C941C66E,electric_bike,2024-05-25 18:38:18.000000 UTC,2024-05-25 18:56:34.000000 UTC,,,,,42.05,-87.68,42.0,-87.67,casual
1C64B670ABBDF109,electric_bike,2024-04-26 16:29:44.000000 UTC,2024-04-26 16:48:38.000000 UTC,,,,,42.05,-87.68,42.0,-87.69,member
8C11DB3213802517,electric_bike,2024-08-15 19:57:33.970000 UTC,2024-08-15 20:29:14.356000 UTC,,,,,41.9,-87.63,42.0,-87.67,member
FAB9C79298D2F797,electric_bike,2024-07-11 14:29:17.323000 UTC,2024-07-11 14:37:40.407000 UTC,,,,,41.98,-87.68,42.0,-87.68,casual
C0C9242E4EBF349B,electric_scooter,2024-09-26 16:02:57.758000 UTC,2024-09-26 16:18:01.630000 UTC,,,,,42.0,-87.66,42.0,-87.66,casual
356D171B3255FE10,electric_bike,2024-06-12 18:15:51.026000 UTC,2024-06-12 18:21:06.667000 UTC,,,,,42.02,-87.68,42.0,-87.67,member
BDB7D77D0500B074,electric_bike,2024-06-15 06:01:38.137000 UTC,2024-06-15 06:04:35.565000 UTC,,,,,42.0,-87.66,42.0,-87.66,member
F047D506CC985EC2,electric_bike,2024-10-01 13:28:17.716000 UTC,2024-10-01 13:35:38.649000 UTC,,,,,42.0,-87.66,42.0,-87.66,member
156A6FB4F5476D69,electric_bike,2024-11-26 14:54:23.724000 UTC,2024-11-26 15:05:46.530000 UTC,,,,,41.97,-87.69,42.0,-87.68,member
DAE4885AE76A07E6,electric_bike,2024-02-15 15:16:40.000000 UTC,2024-02-15 15:24:58.000000 UTC,,,,,42.0,-87.67,42.0,-87.66,member
81717343B6BB4792,electric_bike,2024-07-08 17:08:30.148000 UTC,2024-07-08 17:23:33.301000 UTC,,,,,42.03,-87.71,42.0,-87.67,casual
D9F4C2DAF383235D,electric_bike,2024-06-08 13:23:34.208000 UTC,2024-06-08 13:23:56.923000 UTC,,,,,42.0,-87.67,42.0,-87.67,member
5FA07A851ED6A1CD,electric_bike,2024-08-13 16:31:02.899000 UTC,2024-08-13 17:24:33.343000 UTC,,,,,41.93,-87.69,42.0,-87.66,member
C9334C615101ED2E,electric_bike,2024-08-22 12:08:10.230000 UTC,2024-08-22 12:22:51.221000 UTC,,,,,42.01,-87.77,42.0,-87.82,casual
25884049358260FE,electric_bike,2024-10-01 16:34:10.862000 UTC,2024-10-01 16:39:04.501000 UTC,,,,,42.01,-87.67,42.0,-87.67,casual
12346D6D744029AB,electric_bike,2024-04-11 15:05:06.000000 UTC,2024-04-11 15:11:03.000000 UTC,,,,,41.99,-87.67,42.0,-87.66,casual
07D614E9E3D5FC69,electric_bike,2024-10-28 12:42:47.437000 UTC,2024-10-28 12:58:18.056000 UTC,,,,,42.0,-87.67,42.0,-87.68,member
2DC87DD5DC02BB52,electric_bike,2024-07-14 13:58:24.055000 UTC,2024-07-14 14:51:22.887000 UTC,,,,,41.87,-87.62,42.0,-87.66,casual
5963263E71906FBB,electric_bike,2024-06-09 20:13:30.367000 UTC,2024-06-09 20:22:20.703000 UTC,,,,,42.01,-87.67,42.0,-87.66,casual
E5844E00F6148C69,electric_bike,2024-06-19 22:28:06.258000 UTC,2024-06-19 22:34:36.922000 UTC,,,,,41.99,-87.67,42.0,-87.66,casual
